Start	Stop	Orientation	Length	LocusID	Class	Product	Note	SignalPeptide
173694	173915	+	222	Amuc_0141	CDS	hypothetical protein	-	-
174008	174370	-	363	Amuc_0142	CDS	protein of unknown function DUF486	PFAM: protein of unknown function DUF486; KEGG: aha:AHA_2738 transmembrane signal peptide protein	-
174389	175321	-	933	Amuc_0143	CDS	binding-protein-dependent transport systems inner membrane component	PFAM: binding-protein-dependent transport systems inner membrane component; KEGG: scl:sce3459 oligopeptide transport permease protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.828) with cleavage site probability 0.472 at residue 39
175342	176256	-	915	Amuc_0144	CDS	binding-protein-dependent transport systems inner membrane component	PFAM: binding-protein-dependent transport systems inner membrane component; KEGG: csa:Csal_3000 binding-protein-dependent transport systems inner membrane component	-
176262	178121	-	1860	Amuc_0145	CDS	4-phytase	PFAM: extracellular solute-binding protein family 5; KEGG: rba:RB12862 oligopeptide-binding protein OppA	-
178409	180544	+	2136	Amuc_0146	CDS	Alpha-L-fucosidase	PFAM: glycoside hydrolase family 29 (alpha-L-fucosidase); KEGG: hau:Haur_0019 alpha-L-fucosidase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.989) with cleavage site probability 0.661 at residue 27
180882	181847	-	966	Amuc_0147	CDS	Thioredoxin domain	PFAM: Thioredoxin domain; KEGG: fjo:Fjoh_1422 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.991 at residue 20
182059	183288	+	1230	Amuc_0148	CDS	Saccharopine dehydrogenase	PFAM: Saccharopine dehydrogenase; KEGG: dde:Dde_0572 saccharopine dehydrogenase	-
183495	184478	+	984	Amuc_0149	CDS	metallophosphoesterase	PFAM: metallophosphoesterase; KEGG: gsu:GSU2768 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.997) with cleavage site probability 0.995 at residue 18
184606	185634	-	1029	Amuc_0150	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.989 at residue 26
185712	187100	-	1389	Amuc_0151	CDS	hypothetical protein	KEGG: lla:L20470 unknown protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.968) with cleavage site probability 0.517 at residue 34
187100	188557	-	1458	Amuc_0152	CDS	Tubulin/FtsZ GTPase	PFAM: Tubulin/FtsZ GTPase; KEGG: tfu:Tfu_1113 cell division protein FtsZ	-
188583	189794	-	1212	Amuc_0153	CDS	cell division protein FtsA	PFAM: cell division protein FtsA; KEGG: saz:Sama_0357 cell division protein FtsA	-
189910	190515	-	606	Amuc_0154	CDS	hypothetical protein	KEGG: xcb:XC_1535 lipoprotein	-
190556	192511	-	1956	Amuc_0155	CDS	phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I	PFAM: phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I; phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain II; KEGG: pdi:BDI_2097 phosphoglucomutase phosphomannomutase	-
192617	194401	-	1785	Amuc_0156	CDS	ABC transporter related	PFAM: ABC transporter transmembrane region; ABC transporter related; SMART: AAA ATPase; KEGG: gme:Gmet_2349 ABC transporter-related protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.998) with cleavage site probability 0.533 at residue 33
194395	196245	-	1851	Amuc_0157	CDS	ABC transporter related	PFAM: ABC transporter transmembrane region; ABC transporter related; SMART: AAA ATPase; KEGG: gur:Gura_3231 lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA	-
196424	197830	+	1407	Amuc_0158	CDS	hypothetical protein	KEGG: mfa:Mfla_1886 NAD+ synthetase	-
197906	198706	+	801	Amuc_0159	CDS	protein of unknown function DUF140	PFAM: protein of unknown function DUF140; KEGG: sat:SYN_00411 ABC-type transport system involved in resistance to organic solvents, permease component	-
198722	199540	+	819	Amuc_0160	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: lic:LIC11858 ABC transporter ATP-binding protein	-
199559	200563	+	1005	Amuc_0161	CDS	Mammalian cell entry related domain protein	PFAM: Mammalian cell entry related domain protein; KEGG: sat:SYN_00409 ABC-type transport system involved in resistance to organic solvents, periplasmic component	-
200707	201033	+	327	Amuc_0162	CDS	protein of unknown function DUF883 ElaB	PFAM: protein of unknown function DUF883 ElaB; KEGG: pde:Pden_1394 protein of unknown function DUF883, ElaB	-
201103	201549	+	447	Amuc_0163	CDS	hypothetical protein	-	-
201549	201893	+	345	Amuc_0164	CDS	hypothetical protein	-	-
202275	203357	+	1083	Amuc_0165	CDS	twitching motility protein	KEGG: chy:CHY_0631 type IV pilus retraction protein PilT; TIGRFAM: twitching motility protein; PFAM: type II secretion system protein E; SMART: AAA ATPase	-
203383	204477	+	1095	Amuc_0166	CDS	twitching motility protein	KEGG: sat:SYN_00125 pili retraction protein; TIGRFAM: twitching motility protein; PFAM: type II secretion system protein E; SMART: AAA ATPase	-
204502	205575	+	1074	Amuc_0167	CDS	PpiC-type peptidyl-prolyl cis-trans isomerase	PFAM: PpiC-type peptidyl-prolyl cis-trans isomerase; KEGG: chy:CHY_0201 putative peptidyl-prolyl cis-trans isomerase, PpiC-type	-
205870	205945	+	76	Amuc_R0010	tRNA	tRNA-Ala	-	-
205998	207545	+	1548	Amuc_0168	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.994) with cleavage site probability 0.736 at residue 27
207638	208387	+	750	Amuc_0169	CDS	3-deoxy-D-manno-octulosonatecytidylyltransferase	KEGG: sfu:Sfum_0010 3-deoxy-D-manno-octulosonate cytidylyltransferase; TIGRFAM: 3-deoxy-D-manno-octulosonate cytidylyltransferase; PFAM: acylneuraminate cytidylyltransferase	-
208398	210005	+	1608	Amuc_0170	CDS	CTP synthase	KEGG: mxa:MXAN_1096 CTP synthetase; TIGRFAM: CTP synthase; PFAM: glutamine amidotransferase class-I; CTP synthase-like	-
210072	211634	+	1563	Amuc_0171	CDS	SSS sodium solute transporter superfamily	TIGRFAM: SSS sodium solute transporter superfamily; PFAM: Na+/solute symporter; KEGG: sus:Acid_4784 SSS sodium solute transporter superfamily	-
211866	215765	-	3900	Amuc_0172	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.456 at residue 42
216015	219032	+	3018	Amuc_0173	CDS	hypothetical protein	-	-
219317	220174	+	858	Amuc_0174	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.980) with cleavage site probability 0.845 at residue 35
220441	221613	-	1173	Amuc_0175	CDS	PDZ/DHR/GLGF domain protein	PFAM: PDZ/DHR/GLGF domain protein; KEGG: rba:RB2066 probable serine protease	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.983 at residue 18
221610	222614	-	1005	Amuc_0176	CDS	peptidase S1 and S6 chymotrypsin/Hap	PFAM: peptidase S1 and S6 chymotrypsin/Hap; PDZ/DHR/GLGF domain protein; KEGG: rba:RB2062 probable serine protease DO-like	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.731 at residue 24
222775	225435	+	2661	Amuc_0177	CDS	Peptidoglycan glycosyltransferase	PFAM: glycosyl transferase family 51; penicillin-binding protein transpeptidase; KEGG: aba:Acid345_1065 penicillin-binding protein 1A	-
225453	226706	+	1254	Amuc_0178	CDS	protein of unknown function DUF195	PFAM: protein of unknown function DUF195; KEGG: gur:Gura_0571 protein of unknown function DUF195	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.637) with cleavage site probability 0.364 at residue 23
226864	227565	-	702	Amuc_0179	CDS	HAD-superfamily hydrolase, subfamily IA, variant 3	TIGRFAM: HAD-superfamily hydrolase, subfamily IA, variant 3; HAD-superfamily hydrolase, subfamily IA, variant 1; PFAM: Haloacid dehalogenase domain protein hydrolase; KEGG: dvu:DVU0130 phosphoglycolate phosphatase, putative	-
227570	228349	-	780	Amuc_0180	CDS	acyl-(acyl-carrier-protein)--UDP-N- acetylglucosamine O-acyltransferase	TIGRFAM: acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase; KEGG: gsu:GSU2264 UDP-N-acetylglucosamine acyltransferase	-
228416	229282	-	867	Amuc_0181	CDS	RDD domain containing protein	PFAM: RDD domain containing protein; KEGG: cth:Cthe_0689 RDD domain containing protein	-
229295	230920	-	1626	Amuc_0182	CDS	protein of unknown function DUF214	PFAM: protein of unknown function DUF214; KEGG: dde:Dde_1366 lipoprotein releasing system, transmembrane protein, LolC/E family	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.980) with cleavage site probability 0.768 at residue 52
230995	231915	-	921	Amuc_0183	CDS	Beta-lactamase	PFAM: beta-lactamase; KEGG: aby:ABAYE3623 extended spectrum beta-lactamase VEB-1	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.996) with cleavage site probability 0.554 at residue 32
232044	232547	+	504	Amuc_0184	CDS	protein of unknown function DUF456	PFAM: protein of unknown function DUF456; KEGG: gsu:GSU2638 hypothetical protein	-
232701	233021	+	321	Amuc_0185	CDS	conserved hypothetical protein	KEGG: cpr:CPR_0874 hypothetical protein	-
233077	235443	+	2367	Amuc_0186	CDS	glycoside hydrolase family 95	KEGG: pdi:BDI_2423 glycoside hydrolase family 95	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.990) with cleavage site probability 0.631 at residue 25
235480	236550	+	1071	Amuc_0187	CDS	peptidase M28	PFAM: peptidase M20; peptidase M28; KEGG: gur:Gura_1976 peptidase M28	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.939) with cleavage site probability 0.806 at residue 26
236547	237587	+	1041	Amuc_0188	CDS	Esterase/lipase-like protein	KEGG: fjo:Fjoh_4266 esterase/lipase-like protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.973 at residue 23
237659	240388	+	2730	Amuc_0189	CDS	isoleucyl-tRNA synthetase	TIGRFAM: isoleucyl-tRNA synthetase; KEGG: tpt:Tpet_1422 isoleucyl-tRNA synthetase	-
240419	241192	+	774	Amuc_0190	CDS	peptidase A8 signal peptidase II	PFAM: peptidase A8 signal peptidase II; KEGG: pin:Ping_3270 lipoprotein signal peptidase	-
241200	241862	+	663	Amuc_0191	CDS	hypothetical protein	KEGG: gur:Gura_3399 protein of unknown function DUF1573	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.998) with cleavage site probability 0.711 at residue 21
241880	242362	+	483	Amuc_0192	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.942) with cleavage site probability 0.770 at residue 25
242365	243591	+	1227	Amuc_0193	CDS	cysteine desulfurase, SufS subfamily	TIGRFAM: cysteine desulfurase, SufS subfamily; PFAM: aminotransferase class V; aromatic amino acid beta-eliminating lyase/threonine aldolase; KEGG: pgi:PG0735 aminotransferase, class V	-
243629	245362	+	1734	Amuc_0194	CDS	hypothetical protein	KEGG: psa:PST_0694 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.885) with cleavage site probability 0.546 at residue 23
245575	245712	-	138	Amuc_0195	CDS	hypothetical protein	-	-
245832	247475	+	1644	Amuc_0196	CDS	serine/threonine protein kinase	SMART: serine/threonine protein kinase; KEGG: rba:RB8028 serine/threonine kinase Pkn10	-
247578	247784	+	207	Amuc_0197	CDS	hypothetical protein	-	-
247900	248247	-	348	Amuc_0198	CDS	ribosomal protein L19	PFAM: ribosomal protein L19; KEGG: tpd:Teth39_1272 ribosomal protein L19	-
248357	249895	-	1539	Amuc_0199	CDS	hypothetical protein	KEGG: sus:Acid_7234 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.955 at residue 22
250061	250483	+	423	Amuc_0200	CDS	methylmalonyl-CoA epimerase	TIGRFAM: methylmalonyl-CoA epimerase; PFAM: Glyoxalase/bleomycin resistance protein/dioxygenase; KEGG: sth:STH1188 putative lactoylglutathione lyase	-
250515	252080	+	1566	Amuc_0201	CDS	carboxyl transferase	PFAM: carboxyl transferase; KEGG: rru:Rru_A0051 carboxyl transferase	-
252102	252554	+	453	Amuc_0202	CDS	hypothetical protein	-	-
252627	253028	+	402	Amuc_0203	CDS	biotin/lipoyl attachment domain-containing protein	PFAM: biotin/lipoyl attachment domain-containing protein; KEGG: rru:Rru_A0049 biotin/lipoyl attachment	-
253107	254771	+	1665	Amuc_0204	CDS	sodium ion-translocating decarboxylase, beta subunit	KEGG: csc:Csac_2482 sodium ion-translocating decarboxylase, beta subunit; TIGRFAM: sodium ion-translocating decarboxylase, beta subunit; PFAM: Na+transporting methylmalonyl-CoA/oxaloacetate decarboxylase beta subunit	-
254809	255588	+	780	Amuc_0205	CDS	biotin/acetyl-CoA-carboxylase ligase	TIGRFAM: biotin/acetyl-CoA-carboxylase ligase; PFAM: biotin/lipoate A/B protein ligase; KEGG: azo:azo0734 biotin--[acetyl-CoA-carboxylase] ligase	-
255650	257146	+	1497	Amuc_0206	CDS	succinate CoA transferase	KEGG: bth:BT_3193 putative coenzyme A transferase; TIGRFAM: succinate CoA transferase; PFAM: acetyl-CoA hydrolase/transferase	-
257265	257966	+	702	Amuc_0207	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.921) with cleavage site probability 0.631 at residue 45
258184	259047	-	864	Amuc_0208	CDS	glucose-1-phosphate thymidylyltransferase	TIGRFAM: glucose-1-phosphate thymidylyltransferase; PFAM: Nucleotidyl transferase; KEGG: psa:PST_0083 glucose 1 ph thymidilate transferase	-
259057	260109	-	1053	Amuc_0209	CDS	dTDP-glucose 4,6-dehydratase	TIGRFAM: dTDP-glucose 4,6-dehydratase; PFAM: NAD-dependent epimerase/dehydratase; short-chain dehydrogenase/reductase SDR; 3-beta hydroxysteroid dehydrogenase/isomerase; polysaccharide biosynthesis protein CapD; dTDP-4-dehydrorhamnose reductase; Male sterility domain; KEGG: swi:Swit_4019 dTDP-glucose 4,6-dehydratase	-
260241	261203	-	963	Amuc_0210	CDS	6-phosphofructokinase	PFAM: phosphofructokinase; KEGG: nis:NIS_0897 6-phosphofructokinase	-
261314	262045	+	732	Amuc_0211	CDS	Uracil-DNA glycosylase superfamily	PFAM: Uracil-DNA glycosylase superfamily; KEGG: eba:ebA2814 single-strand selective monofunctional uracil DNA glycosylase	-
262177	262323	+	147	Amuc_0212	pseduogene	pseduogene	-	-
262414	263880	+	1467	Amuc_0213	CDS	glutamyl-tRNA(Gln) amidotransferase, B subunit	TIGRFAM: glutamyl-tRNA(Gln) amidotransferase, B subunit; PFAM: GatB/Yqey domain protein; GatB region; GatB central domain protein; KEGG: chy:CHY_1103 aspartyl/glutamyl-tRNA amidotransferase subunit B	-
263935	265701	-	1767	Amuc_0214	CDS	thiamine pyrophosphate protein TPP binding domain protein	PFAM: thiamine pyrophosphate protein domain protein TPP-binding; thiamine pyrophosphate protein central region; thiamine pyrophosphate protein TPP binding domain protein; KEGG: bja:bll7286 pyruvate dehydrogenase	-
265829	266431	-	603	Amuc_0215	CDS	hypothetical protein	KEGG: pst:PSPTO_3229 filamentous hemagglutinin, intein-containing, putative	-
267032	269569	+	2538	Amuc_0216	CDS	hypothetical protein	KEGG: eci:UTI89_C1098 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.564 at residue 26
269680	270333	-	654	Amuc_0217	CDS	hypothetical protein	-	-
270500	273256	+	2757	Amuc_0218	CDS	calcium-translocating P-type ATPase, PMCA-type	TIGRFAM: ATPase, P-type (transporting), HAD superfamily, subfamily IC; calcium-translocating P-type ATPase, PMCA-type; PFAM: cation transporting ATPase domain protein; Haloacid dehalogenase domain protein hydrolase; E1-E2 ATPase-associated domain protein; KEGG: pdi:BDI_2198 putative transmembrane calcium-transporting ATPase	-
273283	274512	+	1230	Amuc_0219	CDS	efflux transporter, RND family, MFP subunit	TIGRFAM: efflux transporter, RND family, MFP subunit; PFAM: secretion protein HlyD family protein; KEGG: sfu:Sfum_1458 efflux transporter, RND family, MFP subunit	-
274525	277695	+	3171	Amuc_0220	CDS	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	TIGRFAM: transporter, hydrophobe/amphiphile efflux-1 (HAE1) family; PFAM: acriflavin resistance protein; KEGG: sfu:Sfum_1457 transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	-
277742	279124	-	1383	Amuc_0221	CDS	anion transporter	TIGRFAM: anion transporter; PFAM: sodium/sulphate symporter; Citrate transporter; KEGG: hiq:CGSHiGG_06980 possible di- and tricarboxylate transporter	-
279411	279683	-	273	Amuc_0222	CDS	conserved hypothetical protein	KEGG: bpt:Bpet0581 hypothetical protein	-
279869	280642	-	774	Amuc_0223	CDS	phosphomethylpyrimidine kinase	KEGG: lil:LA0130 phosphomethylpyrimidine kinase; TIGRFAM: phosphomethylpyrimidine kinase; PFAM: Phosphomethylpyrimidine kinase type-1	-
280656	281237	+	582	Amuc_0224	CDS	hypothetical protein	-	-
281234	282277	-	1044	Amuc_0225	CDS	Sel1 domain protein repeat-containing protein	PFAM: Sel1 domain protein repeat-containing protein; KEGG: cch:Cag_1938 Sel1-like repeat	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.861) with cleavage site probability 0.825 at residue 25
282426	283163	+	738	Amuc_0226	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.776 at residue 28
283179	284420	-	1242	Amuc_0227	CDS	hypothetical protein	KEGG: cps:CPS_4098 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.722) with cleavage site probability 0.266 at residue 18
284763	286721	-	1959	Amuc_0228	CDS	hypothetical protein	KEGG: cjd:JJD26997_0043 type II restriction-modification enzyme	-
287311	287386	-	76	Amuc_R0011	tRNA	tRNA-Lys	-	-
287423	287498	-	76	Amuc_R0012	tRNA	tRNA-Lys	-	-
287542	287616	-	75	Amuc_R0013	tRNA	tRNA-Thr	-	-
287811	288308	+	498	Amuc_0229	CDS	hypothetical protein	-	-
288487	289272	-	786	Amuc_0230	CDS	short-chain dehydrogenase/reductase SDR	PFAM: short-chain dehydrogenase/reductase SDR; KR domain protein; KEGG: cbe:Cbei_1961 short-chain dehydrogenase/reductase SDR	-
289331	290587	-	1257	Amuc_0231	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.680) with cleavage site probability 0.524 at residue 31
290764	291444	+	681	Amuc_0232	CDS	peptide deformylase	TIGRFAM: peptide deformylase; PFAM: formylmethionine deformylase; KEGG: abo:ABO_0131 peptide deformylase	-
291556	292593	-	1038	Amuc_0233	CDS	L-threonine 3-dehydrogenase	TIGRFAM: L-threonine 3-dehydrogenase; PFAM: Alcohol dehydrogenase zinc-binding domain protein; Alcohol dehydrogenase GroES domain protein; KEGG: mlo:mlr8299 L-threonine 3-dehydrogenase	-
292596	292802	+	207	Amuc_0234	CDS	hypothetical protein	-	-
292855	294519	+	1665	Amuc_0235	CDS	alpha-glucan phosphorylase	KEGG: chu:CHU_0308 A-glucan phosphorylase, glycosyltransferase family 35 protein; TIGRFAM: alpha-glucan phosphorylase; PFAM: glycosyl transferase family 35	-
294621	295391	-	771	Amuc_0236	CDS	Ion transport 2 domain protein	PFAM: Ion transport protein; Ion transport 2 domain protein; KEGG: mmw:Mmwyl1_0600 ion transport protein	-
295400	295759	-	360	Amuc_0237	CDS	arsenate reductase and related	PFAM: arsenate reductase and related; KEGG: bth:BT_4468 hypothetical protein	-
295927	297333	-	1407	Amuc_0238	CDS	beta-lactamase domain protein	PFAM: beta-lactamase domain protein; RNA-metabolising metallo-beta-lactamase; KEGG: pca:Pcar_0642 predicted exonuclease	-
